test,magnitude_mfcc,magnitude_cqt,magnitude_spectrum,magnitude_music2latent,magnitude_dac,distances_mfcc,distances_cqt,distances_spectrum,distances_music2latent,distances_dac,similarities_mfcc,similarities_cqt,similarities_spectrum,similarities_music2latent,similarities_dac
square_slow,-0.8631680753580087,-0.9221632349687214,-0.9552168953375697,0.9646248888742419,0.8399676703755816,-0.595327355558003,0.5270201428011141,0.23694009950258332,0.9363858633927508,0.8376568380122235,-0.47483054689071075,-0.6981023854827216,-0.3678255356767624,-0.8267573728189551,0.30964960399585273
square_fast,-0.6959566922150678,-0.7144550271158088,-0.6002149962256192,0.25038254344231947,0.859426261184757,0.12400334632421581,0.352036611317146,0.16350467705190785,0.23333533248725508,0.773739490642733,-0.2716110640643141,-0.46563633913285424,-0.1656898074044011,-0.2306050930774995,-0.6300860318643342
square_vibrato,0.21985004565032543,0.27094994494271163,0.1153385963035689,-0.0847531356756701,0.5956018663262491,0.01167529945195002,0.05309778084387939,-0.07936129221896775,0.49741028468444154,0.6510119453689526,0.08169488486416801,-0.020988420215247633,0.08841278501024158,-0.4966702243697054,-0.6684124916555758
saw_noise,0.9572609796932438,-0.8435678801409559,-0.39885493181092607,0.7882266221768117,0.23298606721486598,-0.20032518832155452,-0.03959346119964987,-0.032329076528266165,0.8259960423594315,0.3774822790764502,0.7667276607578786,-0.2933807700308176,-0.0998094532821844,-0.7248079243008099,-0.18837934227045153
sines_noise,0.2760494195325265,-0.6473847939792301,-0.4986420104787082,0.9692883889551634,0.808976172052135,-0.19439207664823632,-0.19856318837788797,-0.05774321310432086,0.9244986274558633,0.798526415814639,0.2801338778608354,-0.030736677111954953,-0.09293094187184732,-0.8342857172257228,-0.050152457425249146
filter_saw,-0.9952608047872971,-0.15229503166377142,-0.9581941038976471,0.5876793730386527,0.44905255235502345,-0.12177351350682793,0.1259421115263644,0.07460179183002019,0.16462886987791442,0.5925229880146736,0.002882594082422579,-0.238817976502992,-0.024991550099169632,0.028899763590030807,-0.03145578401638465
triangle_clip,-0.9624927743980388,-0.7908675091569601,-0.919034032984272,0.7405046725139851,0.9580449566386463,-0.30070726771934314,0.20406483392582977,-0.1279584623539272,0.19619402103069436,0.960912389669419,0.01997741687990821,-0.05567176613749295,0.07471749255844233,0.6799192804310039,-0.4774306183944796
fm_amplitude,-0.8760130356811394,-0.8455041274492121,-0.7951368958790793,-0.8594017850803206,0.08121653099590533,-0.003129124063736423,0.5198183025613863,0.09310446263944487,0.6288866744342144,-0.09921510810959357,-0.023702623817530476,-0.35248724753337507,-0.04524754525778204,-0.87205606317252,0.1528297492886285
fm_frequency,-0.41296059129042906,0.1080626914035851,0.2759572270231277,-0.516499181690509,0.1130056695198699,-0.14979162731949913,-0.13486075925086644,-0.2817909578043962,-0.010645572406531809,-0.18408339002759033,0.049274538712032086,0.11056808043067338,0.25542132560891384,-0.47470974420335205,0.27451535914860425
delay_noise,-0.6283739725489084,-0.6100528856338088,-0.5985824698556538,-0.49767337618520663,0.3714369745831968,-0.2023214802119189,-0.1380141809736507,-0.22413974654107288,-0.16100692676565903,0.44668211031849697,-0.16028763850488692,-0.32631186016607905,-0.4994334369830249,0.16067642874523133,-0.17709458468764108
delay_saw,-0.6669675060588701,-0.6609476428095659,-0.619090112276003,0.5806373599103836,0.2832050674496826,-0.10569410636769437,0.06739740963878389,0.1326237760712243,0.3255378174175778,0.3036432621905109,-0.08800410934445231,-0.20196980539870346,-0.4442159702960283,-0.08005223708709927,-0.29437103197793346
reverb_noise,-0.623451730658383,-0.6890368953366667,-0.5354063937934017,-0.5704794258983207,0.40303279266899955,-0.23340954296353142,-0.17804302124707874,-0.08228196682478962,-0.16953300265737672,0.5848802990039922,0.11940762141130591,-0.6400819522585193,-0.3999961722271065,0.06912114820116612,-0.311094590397347
reverb_saw,-0.44211254991063337,-0.5602940476111846,-0.09786696036080654,-0.19473464951586353,-0.28310519862127115,-0.10942842884174064,-0.10318210291115988,0.05737878670501418,0.021966412468303408,-0.24116967506347367,0.1534650347865565,0.06842124727390572,-0.021380814398176722,-0.1614349795020701,-0.26357584715770394
